book_id,title,author,publisher,genre,price,image_url,description,affiliate_link,featured,tags,release_date,rating
B001,The Hobbit,J.R.R. Tolkien,George Allen & Unwin,Fantasy,$9.99,assets/images/hobbit.jpg,A fantasy novel about the adventure of Bilbo Baggins.,https://www.amazon.com/dp/B000FC1PWA?tag=youraffiliateID-20,TRUE,"middle-earth, adventure, classic",21-09-1937,4.9
B002,1984,George Orwell,Secker & Warburg,Dystopian,$8.49,assets/images/1984.jpg,A chilling prophecy about the future.,https://www.amazon.com/dp/B003JTHWKU?tag=youraffiliateID-20,FALSE,"dystopia, politics, totalitarian",08-06-1949,4.8
B003,Pride and Prejudice,Jane Austen,T. Egerton,Romance,$7.95,assets/images/pride.jpg,A romantic novel of manners.,https://www.amazon.com/dp/B008476HBM?tag=youraffiliateID-20,FALSE,"romance, classic, society",1813-01-28,4.7
B004,To Kill a Mockingbird,Harper Lee,J.B. Lippincott & Co.,Drama,$10.99,assets/images/mockingbird.jpg,A novel about racial injustice in the Deep South.,https://www.amazon.com/dp/B00K0OI42W?tag=youraffiliateID-20,TRUE,"drama, justice, race",11-07-1960,4.9
B005,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,Classic,$6.75,assets/images/gatsby.jpg,A novel set in the Jazz Age.,https://www.amazon.com/dp/B08R3X6BR9?tag=youraffiliateID-20,FALSE,"jazz age, wealth, tragedy",10-04-1925,4.6
B006,The Da Vinci Code,Dan Brown,Doubleday,Thriller,$11.50,assets/images/davinci.jpg,A symbologist uncovers a religious mystery.,https://www.amazon.com/dp/B000FA675C?tag=youraffiliateID-20,TRUE,"thriller, conspiracy, religion",18-03-2003,4.3
B007,The Catcher in the Rye,J.D. Salinger,"Little, Brown and Company",Coming-of-Age,$9.25,assets/images/catcher.jpg,A story of teenage rebellion and angst.,https://www.amazon.com/dp/B003WUYR60?tag=youraffiliateID-20,FALSE,"teen, rebellion, classic",16-07-1951,4.2
B008,Sapiens,Yuval Noah Harari,Harper,Non-Fiction,$14.99,assets/images/sapiens.jpg,A brief history of humankind.,https://www.amazon.com/dp/B00ICN066A?tag=youraffiliateID-20,FALSE,"history, science, anthropology",01-01-2011,4.8
B009,Gone Girl,Gillian Flynn,Crown Publishing Group,Mystery,$12.99,assets/images/gonegirl.jpg,A psychological thriller about a missing wife.,https://www.amazon.com/dp/B006LSZECO?tag=youraffiliateID-20,FALSE,"thriller, mystery, dark",05-06-2012,4.5
B010,Educated,Tara Westover,Random House,Memoir,$13.95,assets/images/educated.jpg,A memoir of a woman who escapes her survivalist family to go to college.,https://www.amazon.com/dp/B072BLVM83?tag=youraffiliateID-20,TRUE,"memoir, education, resilience",18-02-2018,4.9
